"","age","sex","n"
"1",15,"Female",3
"2",15,"Male",4
"3",15,"Female",3
"4",15,"Male",6
"5",15,"Female",8
"6",15,"Male",5
"7",15,"Female",10
"8",15,"Male",8
"9",15,"Female",2
"10",15,"Male",5
"11",15,"Female",8
"12",15,"Male",7
"13",15,"Female",6
"14",15,"Male",1
"15",15,"Female",1
"16",15,"Male",8
"17",15,"Female",11
"18",15,"Male",10
"19",15,"Female",2
"20",15,"Male",7
"21",16,"Female",8
"22",16,"Male",7
"23",16,"Female",2
"24",16,"Male",5
"25",16,"Female",5
"26",16,"Male",6
"27",16,"Female",12
"28",16,"Male",13
"29",16,"Female",6
"30",16,"Male",7
"31",16,"Female",5
"32",16,"Male",6
"33",16,"Female",6
"34",16,"Male",5
"35",16,"Female",9
"36",16,"Male",5
"37",16,"Female",15
"38",16,"Male",21
"39",16,"Female",8
"40",16,"Male",3
"41",17,"Female",9
"42",17,"Male",6
"43",17,"Female",9
"44",17,"Male",6
"45",17,"Female",4
"46",17,"Male",8
"47",17,"Female",11
"48",17,"Male",13
"49",17,"Female",7
"50",17,"Male",7
"51",17,"Female",9
"52",17,"Male",6
"53",17,"Female",9
"54",17,"Male",5
"55",17,"Female",3
"56",17,"Male",8
"57",17,"Female",11
"58",17,"Male",8
"59",17,"Female",8
"60",17,"Male",8
"61",18,"Female",7
"62",18,"Male",3
"63",18,"Female",3
"64",18,"Male",9
"65",18,"Female",3
"66",18,"Male",4
"67",18,"Female",8
"68",18,"Male",17
"69",18,"Female",4
"70",18,"Male",3
"71",18,"Female",5
"72",18,"Male",5
"73",18,"Female",10
"74",18,"Male",5
"75",18,"Female",3
"76",18,"Male",6
"77",18,"Female",12
"78",18,"Male",12
"79",18,"Female",7
"80",18,"Male",4
"81",19,"Female",1
"82",19,"Male",4
"83",19,"Female",7
"84",19,"Male",2
"85",19,"Female",6
"86",19,"Male",5
"87",19,"Female",9
"88",19,"Male",6
"89",19,"Female",7
"90",19,"Male",15
"91",19,"Female",5
"92",19,"Male",8
"93",19,"Female",2
"94",19,"Male",4
"95",19,"Female",7
"96",19,"Male",5
"97",19,"Female",15
"98",19,"Male",11
"99",19,"Female",9
"100",19,"Male",10
"101",20,"Female",2
"102",20,"Male",11
"103",20,"Female",8
"104",20,"Male",6
"105",20,"Female",2
"106",20,"Male",10
"107",20,"Female",7
"108",20,"Male",13
"109",20,"Female",3
"110",20,"Male",6
"111",20,"Female",4
"112",20,"Male",6
"113",20,"Female",8
"114",20,"Male",4
"115",20,"Female",6
"116",20,"Male",5
"117",20,"Female",11
"118",20,"Male",13
"119",20,"Female",7
"120",20,"Male",6
"121",21,"Female",3
"122",21,"Male",13
"123",21,"Female",9
"124",21,"Male",4
"125",21,"Female",5
"126",21,"Male",9
"127",21,"Female",14
"128",21,"Male",11
"129",21,"Female",2
"130",21,"Male",9
"131",21,"Female",7
"132",21,"Male",7
"133",21,"Female",4
"134",21,"Male",6
"135",21,"Female",2
"136",21,"Male",3
"137",21,"Female",9
"138",21,"Male",11
"139",21,"Female",12
"140",21,"Male",6
"141",22,"Female",8
"142",22,"Male",7
"143",22,"Female",10
"144",22,"Male",10
"145",22,"Female",5
"146",22,"Male",4
"147",22,"Female",17
"148",22,"Male",18
"149",22,"Female",11
"150",22,"Male",8
"151",22,"Female",9
"152",22,"Male",9
"153",22,"Female",2
"154",22,"Male",11
"155",22,"Female",8
"156",22,"Male",4
"157",22,"Female",14
"158",22,"Male",20
"159",22,"Female",12
"160",22,"Male",5
"161",23,"Female",5
